,caption,target,prediction,onnx
0,"This dope @krznski x @errlectric_dave Knockout Skull slide just arrived and it won’t last long!
.
.
#krznskiglass #knockoutbowl #krznski #errlectricdave #edborosilicate",0,0,0
1,🌪🌪Carbcap AUCTION🌪🌪 ☀️This is a 25.4 inch #bubblecap featuring 2 reversals if that tight line work. ☀️Bidding starts now at 0 and ends when I call it. ☀️Reserve. ☀️Minimum bids of $5 please. ☀️She comes signed and dated with a @thetipen ☀️Shipping in the US is $5 Outside the US is $10. ☀️You must pay within 24 hours of winning the auction. 🙏Thank you everyone!!🙏 #bubbly #reversals #poppin #minitube #glassart #dabbersunite #headyglassart #pendantsofig #smokeshop #glassgallery #glassofig #glasscollector #glassforsale #buyboro #bestofglass #glass4sale #boroforsale #boroballers #highendglass #glassauction #headyglass #dabversdaily,1,1,1
2,"Auction! Auction! Auction! 
I don't like complicated so these are always simple....starts a $0 with increments of whatever.
Winner includes $5 for shipping 
Spiral linework cap with a Profound opal.
Venmo and Cash App preferred, PayPal friends and family also accepted.
Ends at 10pm. Good luck!
#glassofig #glassforsale #cannabiscommunity #dabbersdaily #boroforsale #boro #boroart",1,1,1
3,"(Sold) 8” tall #minitube made of solid #labyrinth from @gannettglasscolor 💚 This one is #10mm with a 2 hole grommet downstem 💦
Hit the dm to scoop 🍻
.
.
#glassforsale #headyglass #headyglassforsale #10mmmafia #lowtemp #terpsauce #thousanddollarsmoke #topshelflife #oprahswookclub #cflglass #terpsonterps #wasteittotasteit #hetti #headyauction #terptraveler #smallerisballer #grommytube #iowa #iowaglass #cbdisolate #sause #cbd #terpsauce #hashrosin #bubblecap",0,0,0
4,Going in on this diamond 💎. The terps on this are amazing! Prob should’ve clean the tool. So sticky had to give a good tap. #terps #concentrates #glassofig #terpsauce #terpdiamonds,0,0,0
5,"🚨24 Hour Auction🚨
‘Hang loose’ hand pendant. Leave your bids in the comments below!
Artist: @goober_gabe
(About 2 x 1.5 inches) (L x W)
👇👇AUCTION RULES👇👇
👉Starting Bid: $60
👉Bid Increments: $10 minimum
👉Tag the person you outbid
👉Highest Bidder Wins
👉Free International Shipping
👉Credit or Debit Card
👉Ends Tuesday 8:30 A.M. ET
👉Shipping Same Week
👉Optional: Add Handmade Parachute Necklace Only $10
👉24/7 support available @xfadesupport
PAYMENT IS DUE IMMEDIATELY AT CONCLUSION OF AUCTION; FAILURE TO PAY IS BLOCK —————————————————————
#xfade #headyglassforsale #shop #artist #headyglass #gallery #headshop #glassforsale #headylife #artist #glassart #glassartist #art #glassappreciation #glasscollector #collectible #pendy #glasspendant #pendant #heady #highendglass #borosilicate #highlife #boro #glass",1,1,1
6,"📣📣📣Black crushed opal PUFFCO PEAK directional airflow bubble cap up for grabs, First dibs takes it, $45 shipped #rebelzglass #glassforsale #boroforsale #headyglassforsale #glass4sale #boro4sale #headyglass #carbcap #directionalairflow #bubblecap #terpcap #handmade #coloradomade #puffcopeak #puffcopeakcap #puffcopeakcaps #peak #black #crushedopal #dibs 📸 credit @borohoney719 📣📣📣",0,0,0
7,"Going to get back into the bubble grind today, whipped this up lastnight trans white with the extended nozzle for those deep dish buckets. This one is 24 mm with a extended length of 17 mm. I love bubblecaps how about you? 🔥
.
.
.
.
.
#bubblecapforsale #bubblecap #longnozzle #headybubblecap #transwhite #terpenes #terpsaver #spectatorglass",0,0,0
8,"Custom hand burned Shogun display box!!!💮🏯🎏🎋⛩ NFS
•
•
•
 #woodburning #colorado #boulder #woodencass #pine #woodwork #wood #japeneses #scarab #shogun #satisfying #woodart #handcarved #japeneseglass #woodworking #woodcarving #workshop #bestofglass #love #pin #katakana #woodcase #case #displaycase #engraving #dremel #woodartist #headyart #japanesestyle #srg2019",0,0,0
9,🧚‍♀️Fairy dabber/bubble cap #4! I’m happy with how this winged gal turned out! Thanks for looking and have a great day!! #cglass #glassofct #glassofig #glasslife #glassart #handmade #boro #glass #fairy #wings #fairiesarereal #fairies #dabbersdaily #bubblecap #dab #dabstagram #weedstagram #dabs #710 #420 #cannabis #cannabiscommunity #cannabisculture #eastcoastglassblowers #newengland #happyfriday #happyweekend #art #glassblowing,0,0,0
